ind_type,size,q2,q3,q4,q5,q6,q7a,q7b,q7c,q7d,q8a,q8b,q9a,q10ap,q10bp,q10cp,q10dp,q10ep,q11a,q11b,q11c,q11d,q11e,q12ap,q12bp,q13p,q14p,q15p,q16a,q17a,q17b,q17c,q17d,q17e,q18,q19,q20,q21p,q22ap,q22ba,q22bb,q22bc,q22bd,q23p,q24,q25,q27a,q27b,q27c,q27d,q27e,q27f,q27g,q27h,q27i,q27j,q28a,q28bp,q29,q30a,q30bap,q30bbp,q30bcp,q30bdp,q30bep,q31aa,q31ab,q31ac,q31ad,q31ae,q31af,q31ba,q31bb,q31bc,q31bd,q31be,q31bf,q31ca,q31cb,q31cc,q31cd,q31ce,q31cf,q31da,q31db,q31dc,q31dd,q31de,q31df,q31ea,q31eb,q31ec,q31ed,q31ee,q31ef,q32a,q32b,q32c,q32d,q33,q34,q35,q36,q37a,q37b,q37c,q37d,q37e,q37f,q37g,q37h,q37i,q38a,q38b,q38c,q38d,q38e,q38g,q38h,q38i,q38j,q38k,q39a,q39b,q39c,q39d,q39e,q39f,q39g,q39h,q39i,q39j,q39k,q39l,q40,q41,q42,q43,q44,q45a1p,q45a2,q45a3a,q45a3b,q45a3c,q45a3d,q45a4p,q45b1p,q45b2,q45b3a,q45b3b,q45b3c,q45b3d,q45b3e,q45b4p,q45c1p,q45c2,q45c3a,q45c3b,q45c3c,q45c3d,q45c3e,q45c4p,q45d1p,q45d2,q45d3a,q45d3b,q45d3c,q45d3d,q45d3e,q45d4p,q45e1p,q45e2,q45e3a,q45e3b,q45e3c,q45e3d,q45e3e,q45e4p,q46a,q46b,q46c,q46d,q46e,q47a,q47b,q47c,q47d,q47e,q48a,q48a1p,q48a2p,q48bp,q49,q50a1,q50a2,q50b1,q50b2,q50c1,q50c2,q50d1,q50d2,q50e1,q50e2,q50f1,q50f2,q51p,q52a,q52b,q52cp,q52dp,q52ep,q53a,q53b,q53c,q53d,q53e,q53f,q53g,q54a,q54b,q54c,q54d,q54e,q54f,q55a,q55b,q55c,q55d,q55e,q55f,q56,q57,q58,q59,prodtitl,q55fdesc,size1,size2,size3,size4,size5,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,man,man1,man2,man3,man4,man5,non1,non2,non3,non4,non5,sector,pctchng,mangpay,supvpay,techpay,suptpay,fntlpay,multiest,pufwght,id,prodwkr,saleswkr
M01,1.0,9120000.0,72400000.0,7800000.0,68000.0,,0.0,35.0,35.0,30.0,1.0,0.0,1.0,5.5555553,11.111111,5.5555553,22.222221,55.555557,,12.0,,12.0,12.0,35.0,1.0,80.0,98.0,2.0,3.0,45.0,45.0,36.0,43.0,43.0,,2.0,1.0,0.0,100.0,1.0,1.0,2.0,1.0,75.0,0.0,10.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,40.0,30.0,30.0,3.0,,3.0,4.0,3.0,1.0,35.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,160.0,3.0,97.0,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,5.0,1.0,,0.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,LINE PROCESSOR,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,,31200.0,31200.0,18200.0,20800.0,11960.0,0.0,205.35294,1,1.0,0
M01,1.0,10000000.0,700000.0,8000000.0,5200000.0,74000.0,1.0,15.0,60.0,24.0,100.0,100.0,2.0,13.043478,13.043478,8.695652,13.043478,52.173912,13.0,13.0,12.0,13.0,12.0,8.695652,4.347826,4.347826,4.347826,0.0,2.0,45.0,45.0,50.0,40.0,45.0,1.0,2.0,2.0,0.0,23.529411,1.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,6.0,16.666666,0.0,0.0,50.0,33.333332,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,33.333332,0.0,66.666664,0.0,0.0,0.0,0.0,0.0,100.0,0.0,4.0,9.0,8.0,5.0,1.0,6.0,100.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,,1.0,3000.0,75.0,100.0,15.0,1.0,1.0,1.0,1.0,100.0,100.0,15.0,1.0,1.0,1.0,1.0,2.0,100.0,100.0,10.0,2.0,2.0,1.0,1.0,2.0,0.0,100.0,4.0,2.0,1.0,1.0,1.0,2.0,100.0,100.0,4.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,33.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,OPERATORS,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,-4.1666665,45000.0,37500.0,35000.0,29000.0,24500.0,1.0,205.35294,2,1.0,0
M01,1.0,13000000.0,900000.0,10000000.0,2500000.0,150000.0,2.0,30.0,40.0,28.0,80.0,0.0,2.0,4.0,24.0,0.0,8.0,64.0,16.0,13.0,,13.0,12.0,8.0,66.0,0.0,0.0,0.0,3.0,40.0,48.0,,40.0,48.0,3.0,2.0,2.0,0.0,100.0,1.0,1.0,2.0,1.0,20.0,2.0,8.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,4.0,1.0,1.0,100.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2000.0,100.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,1.0,1.0,,1.0,2.0,2.0,2.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,GENERAL LABORER,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,,,,,,,1.0,205.35294,3,1.0,0
M01,1.0,5000000.0,1500000.0,4500000.0,800000.0,75000.0,0.0,25.0,50.0,25.0,50.0,10.0,2.0,13.513514,5.4054055,8.1081085,40.54054,16.216217,16.0,16.0,12.0,12.0,12.0,33.0,0.0,5.0,10.0,1.0,1.0,50.0,50.0,50.0,40.0,50.0,3.0,2.0,2.0,50.0,33.0,2.0,1.0,1.0,1.0,20.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,,5.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,,,,,,,4.0,3.0,5.0,5.0,3.0,1.0,100.0,3.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,1.0,10000.0,0.0,80.0,100.0,2.0,1.0,1.0,2.0,37.837837,0.0,,,,,,,,0.0,,,,,,,,26.666666,100.0,1.0,1.0,1.0,1.0,2.0,18.918919,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,33.0,50.0,33.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,TECHNSIONS,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,5.714286,30000.0,25000.0,22000.0,22000.0,17000.0,0.0,205.35294,4,0.0,0
M01,1.0,6000000.0,,,,,,,,,,,2.0,29.411764,29.411764,0.0,11.764706,29.411764,14.0,12.0,,13.0,12.0,17.647058,0.0,5.882353,5.882353,5.882353,3.0,55.0,55.0,,30.0,45.0,1.0,2.0,2.0,0.0,100.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,51.0,0.0,1.9607843,0.0,0.0,98.039215,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,24.0,76.0,5.0,8.0,8.0,5.0,3.0,,90.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3000.0,75.0,100.0,10.0,1.0,1.0,1.0,1.0,100.0,100.0,10.0,1.0,2.0,1.0,1.0,2.0,100.0,,,,,,,,,100.0,10.0,2.0,1.0,1.0,2.0,2.0,100.0,100.0,3.0,2.0,2.0,1.0,1.0,2.0,25.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,10.0,100.0,0.0,5.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,LABORER,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,,90000.0,45000.0,,16000.0,23000.0,0.0,205.35294,5,1.0,0
M01,1.0,,,,,,,,,,,,2.0,3.3333333,6.6666665,0.0,3.3333333,86.666664,12.0,12.0,,12.0,12.0,70.0,10.0,50.0,25.0,10.0,2.0,40.0,40.0,,40.0,25.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,20.0,1.0,12.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,83.333336,16.666666,3.0,9.0,3.0,8.0,3.0,1.0,90.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,10.0,10.0,5.0,10.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,FISH PACKER,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,-10.0,30000.0,13520.0,,15600.0,11960.0,1.0,205.35294,6,1.0,0
M01,1.0,9500000.0,896000.0,7190000.0,1120000.0,135000.0,8.0,40.0,52.0,0.0,60.0,5.0,1.0,12.5,8.333333,2.0833333,8.333333,68.75,16.0,12.0,12.0,14.0,12.0,30.0,20.0,70.0,70.0,5.0,3.0,60.0,60.0,60.0,40.0,45.0,1.0,2.0,2.0,5.0,30.0,1.0,1.0,,1.0,30.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,4.0,3.0,3.0,85.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,5000.0,100.0,100.0,20.0,2.0,1.0,1.0,2.0,50.0,0.0,,,,,,,,0.0,,,,,,,,50.0,8.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,10.0,10.0,30.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,10.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,PRODUCTION LINE WORKER,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,,45000.0,30000.0,40000.0,24000.0,16380.0,0.0,205.35294,7,1.0,0
M01,1.0,4360000.0,472000.0,3040000.0,560000.0,30000.0,0.0,10.0,30.0,60.0,50.0,0.0,1.0,8.333333,16.666666,0.0,16.666666,58.333332,16.0,12.0,,16.0,12.0,25.0,8.333333,50.0,33.333332,16.666666,3.0,50.0,50.0,,40.0,45.0,3.0,2.0,2.0,44.444443,0.0,,,,,16.666666,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,60.0,3.3333333,0.0,0.0,3.3333333,93.333336,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,28.571428,2.0,3.0,8.0,4.0,3.0,1.0,75.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3000.0,100.0,50.0,10.0,2.0,1.0,1.0,2.0,,33.0,15.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,25.0,10.0,2.0,1.0,1.0,2.0,2.0,,0.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,10.0,40.0,50.0,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,LABORER,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,,60000.0,30000.0,,25000.0,21060.0,0.0,205.35294,8,1.0,0
M01,1.0,3200000.0,323000.0,2150000.0,752000.0,170000.0,25.0,30.0,30.0,10.0,100.0,50.0,1.0,18.518518,7.4074073,0.0,3.7037036,70.37037,13.0,12.0,,12.0,10.0,18.518518,80.0,55.555557,11.111111,7.4074073,1.0,60.0,50.0,,45.0,40.0,3.0,2.0,2.0,25.0,25.0,1.0,1.0,2.0,1.0,20.0,2.0,10.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,15.0,6.6666665,6.6666665,0.0,6.6666665,80.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.0,4.0,4.0,4.0,3.0,1.0,50.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3000.0,100.0,10.0,10.0,2.0,1.0,1.0,1.0,10.0,40.0,20.0,1.0,1.0,1.0,1.0,1.0,20.0,,,,,,,,,50.0,40.0,1.0,1.0,1.0,1.0,1.0,20.0,10.526316,40.0,1.0,2.0,1.0,1.0,1.0,20.0,2.0,2.0,,2.0,2.0,1.0,1.0,,1.0,2.0,10.0,30.0,30.0,0.0,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,20.0,1.0,1.0,40.0,30.0,30.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,PRODUCTION WORKER,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,22.727272,70000.0,35000.0,,28000.0,15000.0,0.0,205.35294,9,1.0,0
M01,1.0,3000000.0,325000.0,2310000.0,2410000.0,0.0,0.0,50.0,50.0,0.0,100.0,0.0,2.0,6.0,6.0,0.0,4.0,84.0,,12.0,,12.0,12.0,50.0,0.0,5.5555553,5.5555553,0.0,3.0,40.0,40.0,,40.0,40.0,1.0,2.0,2.0,50.50505,100.0,1.0,1.0,1.0,1.0,0.0,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,4.0,8.0,8.0,,3.0,12.0,75.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,2.0,0.0,,,,2.0,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,CHEESEMAKERS,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,manufac,,,31200.0,,18720.0,19760.0,1.0,205.35294,10,0.0,0
